d1, ax, ay, az, axL, azL, ts
0.00000, 272.00000, 326.00000, 327.00000, 322.00000, 411.00000, 96.07786
0.00000, 273.00000, 326.00000, 327.00000, 322.00000, 411.00000, 96.09127
0.00000, 272.00000, 326.00000, 327.00000, 321.00000, 411.00000, 96.10466
0.00000, 271.00000, 326.00000, 327.00000, 321.00000, 411.00000, 96.11899
0.00000, 272.00000, 326.00000, 327.00000, 321.00000, 411.00000, 96.13369
0.00000, 272.00000, 326.00000, 327.00000, 321.00000, 411.00000, 96.14905
0.00000, 272.00000, 326.00000, 328.00000, 321.00000, 411.00000, 96.16354
0.00000, 272.00000, 326.00000, 327.00000, 321.00000, 411.00000, 96.17708
0.00000, 272.00000, 326.00000, 327.00000, 321.00000, 411.00000, 96.19174
0.00000, 273.00000, 326.00000, 327.00000, 321.00000, 411.00000, 96.20587
0.00000, 272.00000, 326.00000, 327.00000, 321.00000, 411.00000, 96.21730
0.00000, 272.00000, 325.00000, 327.00000, 321.00000, 410.00000, 96.23149
0.00000, 272.00000, 326.00000, 327.00000, 321.00000, 411.00000, 96.24484
0.00000, 271.00000, 325.00000, 327.00000, 321.00000, 410.00000, 96.26074
0.00000, 273.00000, 326.00000, 328.00000, 322.00000, 412.00000, 96.27525
0.00000, 272.00000, 326.00000, 329.00000, 322.00000, 411.00000, 96.28785
0.00000, 273.00000, 326.00000, 328.00000, 322.00000, 411.00000, 96.29905
0.00000, 272.00000, 326.00000, 329.00000, 321.00000, 411.00000, 96.31289
0.00000, 272.00000, 326.00000, 327.00000, 321.00000, 410.00000, 96.32741
0.00000, 272.00000, 325.00000, 327.00000, 321.00000, 410.00000, 96.34618
0.00000, 272.00000, 325.00000, 328.00000, 321.00000, 409.00000, 96.36257
0.00000, 272.00000, 326.00000, 327.00000, 321.00000, 410.00000, 96.37715
0.00000, 271.00000, 326.00000, 327.00000, 321.00000, 411.00000, 96.39124
0.00000, 272.00000, 326.00000, 328.00000, 322.00000, 411.00000, 96.40391
0.00000, 273.00000, 326.00000, 327.00000, 322.00000, 411.00000, 96.41625
0.00000, 272.00000, 326.00000, 327.00000, 321.00000, 410.00000, 96.44718
0.00000, 273.00000, 326.00000, 328.00000, 321.00000, 411.00000, 96.45983
0.00000, 273.00000, 326.00000, 328.00000, 322.00000, 411.00000, 96.47364
0.00000, 272.00000, 326.00000, 328.00000, 321.00000, 412.00000, 96.49082
0.00000, 271.00000, 325.00000, 327.00000, 321.00000, 412.00000, 96.50883
0.00000, 272.00000, 326.00000, 328.00000, 322.00000, 411.00000, 96.52246
0.00000, 272.00000, 326.00000, 327.00000, 322.00000, 411.00000, 96.53675
0.00000, 272.00000, 326.00000, 328.00000, 321.00000, 412.00000, 96.55087
0.00000, 273.00000, 327.00000, 329.00000, 322.00000, 411.00000, 96.56494
0.00000, 272.00000, 326.00000, 327.00000, 321.00000, 412.00000, 96.57876
0.00000, 272.00000, 326.00000, 328.00000, 322.00000, 411.00000, 96.59032
0.00000, 273.00000, 327.00000, 328.00000, 322.00000, 412.00000, 96.60382
0.00000, 273.00000, 327.00000, 328.00000, 321.00000, 412.00000, 96.61714
0.00000, 272.00000, 326.00000, 328.00000, 322.00000, 411.00000, 96.63180
0.00000, 273.00000, 327.00000, 328.00000, 322.00000, 410.00000, 96.64249
0.00000, 272.00000, 326.00000, 328.00000, 322.00000, 412.00000, 96.65711
0.00000, 272.00000, 325.00000, 327.00000, 321.00000, 411.00000, 96.66786
0.00000, 273.00000, 326.00000, 328.00000, 322.00000, 411.00000, 96.68193
0.00000, 272.00000, 326.00000, 328.00000, 322.00000, 411.00000, 96.69726
0.00000, 272.00000, 326.00000, 327.00000, 322.00000, 411.00000, 96.71093
0.00000, 271.00000, 326.00000, 327.00000, 322.00000, 411.00000, 96.72490
0.00000, 272.00000, 326.00000, 327.00000, 321.00000, 411.00000, 96.73601
